ID,Título Normal ES,Título Normal EN,Título Descriptivo ES,Título Fácil ES,Título Signoguía ES,Descripción ES,Descripción EN,Ubicación Específica ES,Ubicación Específica EN,Latitud,Longitud,Tiene Coordenadas
8,Zonas y usos de la isla,Zones and uses of the island,AD - Zonas y usos de la isla,LF - Zonas y usos de la isla,LSE - Zonas y usos de la isla,Cartel promocional de la Isla del Soto del Centro de Interpretación y de los Museos de la Moto histórica y el Museo de Arte Contenporáneo José Fuentes.,Promotional poster for Isla del Soto the Interpretation Centre the Historic Motorcycle Museum and the José Fuentes Museum of Contemporary Art.,Parque infantil,Children's playground,40.952370317558746,-5.63134035224229,Sí
8,Zonas y usos de la isla,Zones and uses of the island,AD - Zonas y usos de la isla,LF - Zonas y usos de la isla,LSE - Zonas y usos de la isla,Cartel promocional de la Isla del Soto del Centro de Interpretación y de los Museos de la Moto histórica y el Museo de Arte Contenporáneo José Fuentes.,Promotional poster for Isla del Soto the Interpretation Centre the Historic Motorcycle Museum and the José Fuentes Museum of Contemporary Art.,Parque biosaludable,Bio-healthy park,40.952519289300746,-5.631736743326188,Sí
8,Zonas y usos de la isla,Zones and uses of the island,AD - Zonas y usos de la isla,LF - Zonas y usos de la isla,LSE - Zonas y usos de la isla,Cartel promocional de la Isla del Soto del Centro de Interpretación y de los Museos de la Moto histórica y el Museo de Arte Contenporáneo José Fuentes.,Promotional poster for Isla del Soto the Interpretation Centre the Historic Motorcycle Museum and the José Fuentes Museum of Contemporary Art.,Plataforma espectáculos,Show platform,40.95309935557791,-5.636684633418328,Sí
8,Zonas y usos de la isla,Zones and uses of the island,AD - Zonas y usos de la isla,LF - Zonas y usos de la isla,LSE - Zonas y usos de la isla,Cartel promocional de la Isla del Soto del Centro de Interpretación y de los Museos de la Moto histórica y el Museo de Arte Contenporáneo José Fuentes.,Promotional poster for Isla del Soto the Interpretation Centre the Historic Motorcycle Museum and the José Fuentes Museum of Contemporary Art.,Merenderos pic nic,Picnic areas,40.95241124435147,-5.633353090886228,Sí
8,Zonas y usos de la isla,Zones and uses of the island,AD - Zonas y usos de la isla,LF - Zonas y usos de la isla,LSE - Zonas y usos de la isla,Cartel promocional de la Isla del Soto del Centro de Interpretación y de los Museos de la Moto histórica y el Museo de Arte Contenporáneo José Fuentes.,Promotional poster for Isla del Soto the Interpretation Centre the Historic Motorcycle Museum and the José Fuentes Museum of Contemporary Art.,Merenderos pic nic,Picnic areas,40.95242998225343,-5.630750290103624,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta Arte Emboscado,Ambushed Art Route,40.95170508713264,-5.638200189827272,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta Arte Emboscado,Ambushed Art Route,40.95240852941758,-5.635221008202152,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta Arte Emboscado,Ambushed Art Route,40.95212084097284,-5.633594337973941,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta Arte Emboscado,Ambushed Art Route,40.952154910022,-5.631614044149215,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta de los Lápices,Pencils Route,40.952164587746715,-5.631380836385952,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta de los Lápices,Pencils Route,40.95236348330626,-5.634726149356212,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta de los Lápices,Pencils Route,40.95322909406052,-5.6379418121171305,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta de los Bichos,Bugs Route,40.952249617673324,-5.632878304574222,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta Batalla de los Arapiles,Battle of Arapiles Route,40.95262907603817,-5.634451357686636,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta de los Murales,Murals Route,40.952233926587105,-5.632580290715561,Sí
9,Rutas de Santa Marta de Tormes,Routes of Santa Marta de Tormes,AD - Rutas de Santa Marta de Tormes,LF - Rutas de Santa Marta de Tormes,LSE - Rutas de Santa Marta de Tormes,Emblema de la Ruta de los Lápices de Santa Marta de Tormes con 5 lápices negros y amarillos; una goma blanca Milan realizados con madera.,Emblem of the Pencil Route in Santa Marta de Tormes showing five black-and-yellow pencils and a white Milan eraser all made of wood.,Ruta de los Murales,Murals Route,40.952851620612655,-5.635275019864475,Sí
10,Llegamos al final del paseo,Here ends the walk,AD - Llegamos al final del paseo,LF - Llegamos al final del paseo,LSE - Llegamos al final del paseo,Pasarela que une la Isla del Soto con la plaza de la Iglesia de Santa Marta de Tormes.,Footbridge connecting Isla del Soto with Plaza de la Iglesia in Santa Marta de Tormes.,,,40.952293884400994,-5.640773413509443,Sí
